itemId,family,scientificName,fileName,imageThumbnailUrl,description
,|Noctuidae|Acronictinae_Amphipyrinae  (subfamily),Acrapex albicostata,missing,main.php_g2_view_core.DownloadItem_g2_itemId_24219_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Acronictinae_Amphipyrinae  (subfamily),Acrapex exsangius,missing,main.php_g2_view_core.DownloadItem_g2_itemId_24232_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Acronictinae_Amphipyrinae  (subfamily),Acronicta dinawa,missing,main.php_g2_view_core.DownloadItem_g2_itemId_24244_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Acronictinae_Amphipyrinae  (subfamily),Acronicta psorallina,missing,main.php_g2_view_core.DownloadItem_g2_itemId_24256_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Acronictinae_Amphipyrinae  (subfamily),Aedia arctipennis,missing,main.php_g2_view_core.DownloadItem_g2_itemId_24268_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Acronictinae_Amphipyrinae  (subfamily),Aedia leucomelas,missing,main.php_g2_view_core.DownloadItem_g2_itemId_24280_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Acronictinae_Amphipyrinae  (subfamily),Aedia olivescens,missing,main.php_g2_view_core.DownloadItem_g2_itemId_24292_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Acronictinae_Amphipyrinae  (subfamily),Aedia sericea,missing,main.php_g2_view_core.DownloadItem_g2_itemId_24304_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Acronictinae_Amphipyrinae  (subfamily),Ancara plaesiosema,missing,main.php_g2_view_core.DownloadItem_g2_itemId_24316_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Acronictinae_Amphipyrinae  (subfamily),Athetis maculatra,missing,main.php_g2_view_core.DownloadItem_g2_itemId_24328_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Acronictinae_Amphipyrinae  (subfamily),Athetis reclusa,missing,main.php_g2_view_core.DownloadItem_g2_itemId_24340_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Acronictinae_Amphipyrinae  (subfamily),Athetis striolata,missing,main.php_g2_view_core.DownloadItem_g2_itemId_24352_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Acronictinae_Amphipyrinae  (subfamily),Athetis tenuis,missing,main.php_g2_view_core.DownloadItem_g2_itemId_24364_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Acronictinae_Amphipyrinae  (subfamily),Athetis thoracica,missing,main.php_g2_view_core.DownloadItem_g2_itemId_24376_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Acronictinae_Amphipyrinae  (subfamily),Aucha vesta,missing,main.php_g2_view_core.DownloadItem_g2_itemId_24388_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Acronictinae_Amphipyrinae  (subfamily),Bagada turpisoides,missing,main.php_g2_view_core.DownloadItem_g2_itemId_24400_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Acronictinae_Amphipyrinae  (subfamily),Barybela chionostigma,missing,main.php_g2_view_core.DownloadItem_g2_itemId_24412_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Acronictinae_Amphipyrinae  (subfamily),Bathytricha aethalion,missing,main.php_g2_view_core.DownloadItem_g2_itemId_24424_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Agaristinae  (subfamily),Agarista agricola,missing,main.php_g2_view_core.DownloadItem_g2_itemId_23580_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Agaristinae  (subfamily),Agaristodes feisthamelii,missing,main.php_g2_view_core.DownloadItem_g2_itemId_23605_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Agaristinae  (subfamily),Apina callisto,missing,main.php_g2_view_core.DownloadItem_g2_itemId_23620_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Agaristinae  (subfamily),Argyrolepidia aequalis,missing,main.php_g2_view_core.DownloadItem_g2_itemId_23635_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Agaristinae  (subfamily),Argyrolepidia thoracophora,missing,main.php_g2_view_core.DownloadItem_g2_itemId_23650_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Agaristinae  (subfamily),Burgena varia,missing,main.php_g2_view_core.DownloadItem_g2_itemId_23662_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Agaristinae  (subfamily),Coenotoca subaspersa,missing,main.php_g2_view_core.DownloadItem_g2_itemId_23677_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Agaristinae  (subfamily),Coenotoca unimacula,missing,main.php_g2_view_core.DownloadItem_g2_itemId_23689_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Agaristinae  (subfamily),Comocrus behri,missing,main.php_g2_view_core.DownloadItem_g2_itemId_23704_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Agaristinae  (subfamily),Cremnophora angasii,missing,main.php_g2_view_core.DownloadItem_g2_itemId_23719_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Agaristinae  (subfamily),Cruria donowani,missing,main.php_g2_view_core.DownloadItem_g2_itemId_23737_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Agaristinae  (subfamily),Cruria epicharita,missing,main.php_g2_view_core.DownloadItem_g2_itemId_23749_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Agaristinae  (subfamily),Cruria kochii,missing,main.php_g2_view_core.DownloadItem_g2_itemId_23761_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Agaristinae  (subfamily),Cruria latifascia,missing,main.php_g2_view_core.DownloadItem_g2_itemId_23776_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Agaristinae  (subfamily),Cruria synopla,missing,main.php_g2_view_core.DownloadItem_g2_itemId_23788_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Agaristinae  (subfamily),Cruria tropica,missing,main.php_g2_view_core.DownloadItem_g2_itemId_23800_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Agaristinae  (subfamily),Eutrichopidia latinus,missing,main.php_g2_view_core.DownloadItem_g2_itemId_23812_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Agaristinae  (subfamily),Hecatesia exultans,missing,main.php_g2_view_core.DownloadItem_g2_itemId_23827_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Catocalinae  (subfamily),Achaea janata,missing,main.php_g2_view_core.DownloadItem_g2_itemId_22668_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Catocalinae  (subfamily),Agamana callixeris,missing,main.php_g2_view_core.DownloadItem_g2_itemId_22681_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Catocalinae  (subfamily),Agamana pergrata,missing,main.php_g2_view_core.DownloadItem_g2_itemId_22693_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Catocalinae  (subfamily),Agamana sarmentosa,missing,main.php_g2_view_core.DownloadItem_g2_itemId_22705_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Catocalinae  (subfamily),Audea irioleuca,missing,main.php_g2_view_core.DownloadItem_g2_itemId_22720_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Catocalinae  (subfamily),Brana calopasa,missing,main.php_g2_view_core.DownloadItem_g2_itemId_22732_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Catocalinae  (subfamily),Brevipecten capitata,missing,main.php_g2_view_core.DownloadItem_g2_itemId_22744_g2_serialNumber_2.jpeg,missing
,|Noctuidae|Catocalinae  (subfamily),Chrysopera combinans,missing,main.php_g2_view_core.DownloadItem_g2_itemId_22756_g2_serialNumber_2.jpeg,missing
